fid,Organizati,Address,City,State,Postcode,Main Phone,Discipline,Council Di,Community,Borough,Latitude,Longitude,Census Tra,BIN,BBL,NTA
"584","Kathak Ensemble & Friends Caravan, Inc.","141 East 3rd Street, Apt. 12-H",New York,NY,"10009",(212) 673-1282,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723793,-73.985602,"32","1005762",1004310031,East Village
"585",Kathryn Posin Dance Foundation,20 Bond Street,New York,NY,"10012",(212) 777-1515,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.726472,-73.993762,"5502","1008500",1005300058,West Village
"586","Keen Theater Company, Inc.","520 8th Avenue, Ste. 328",New York,NY,"10018",(212) 216-0963,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"587","Keep Rising to the Top, Inc.","119 East 102 Street, Apt. 5B",New York,NY,"10029",(212) 410-9426,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.790008,-73.948885,"166","1051879",1016300010,East Harlem South
"588",Kehila Kedosha Janina Synagogue and Museum,280 Broome Street,New York,NY,"10002",(212) 431-1619,Museum,Manhattan Council District #1,,Manhattan,40.718466,-73.991328,"18","1005465",1004140027,Chinatown
"589","Keigwin and Company, Inc.","246 West 38th Street, Eighth Floor",New York,NY,"10018",(212) 278-0691,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754079,-73.990154,"109","1014465",1007870067,Midtown-Midtown South
"590","Kenkeleba House, New York",214 East Second Street,New York,NY,"10009",(212) 674-3939,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.721794,-73.982889,"2202","1004609",1003850063,Lower East Side
"591",Kettle Corn New Music INC,145 4th Avenue,New York,NY,"10003",(917) 902-4619,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.733916,-73.989872,"42","1077569",1005590009,East Village
"592","Keys to the Future Festival, Inc.","200 West 20th Street, Ste. 502",New York,NY,"10011",(212) 242-2691,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.742299,-73.997196,"87","1068149",1007697503,Hudson Yards-Chelsea-Flatiron-Union Square
"593","Kids Creative 404, Inc.",2014 5th Avenue,New York,NY,"10035",(646) 485-5123,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.806177,-73.94245,"200","1053465",1017220038,Central Harlem South
"594",Knowledge Project,"111 John Street, Suite 1070",New York,NY,"10038",(212) 346-9933,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.707671,-74.005764,"1502","1001167",1000750030,Battery Park City-Lower Manhattan
"595",Korea Society,"350 Madison Avenue, 24th Floor",New York,NY,"10017",(212) 759-7525,Visual Arts,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.754374,-73.978145,"94","1035377",1012790057,Midtown-Midtown South
"596","Korean Traditional Performing Arts Association, Inc.",142 West 49th Street,New York,NY,"10019",(212) 921-9344,Folk Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.759798,-73.982172,"125","1022694",1010010055,Midtown-Midtown South
"597","Kundiman, Inc.","113 West 60th Street, Room 924",New York,NY,"10023",(347) 693-6506,Literature,Manhattan Council District #8,Manhattan Community Board #8,Manhattan,40.770141,-73.984974,"145","1028830",1011320020,Lincoln Square
"598","LAByrinth, Inc.",155 Bank Street,New York,NY,"10014",(212) 513-1018,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.736095,-74.009205,"79","1012047",1006390001,West Village
"599",La Casa de la Herencia Cultural Puertorriquena,"1230 Fifth Avenue, Ste. 458",New York,NY,"10029",(212) 722-2600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.793072,-73.951992,"168","1051499",1016100001,East Harlem South
"600","La Donna Dance, Inc.","140 Second Avenue, Ste. 501",New York,NY,"10003",(212) 982-1227,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728956,-73.987401,"38","1006362",1004500006,East Village
"601","La Mama Experimental Theater Club, Inc.",74A East 4th Street,New York,NY,"10003",(212) 254-6468,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726494,-73.990169,"38",,,East Village
"602",LaGuardia Performing Arts Center,"31-10 Thomson Avenue, Room E413",Long Island City,NY,"11101",(718) 482-5301,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens,40.744902,-73.935022,"179","4003534",4002780001,Hunters Point-Sunnyside-West Maspeth
"603",LaGuardia and Wagner Archives,31-10 Thomson Avenue,Long Island City,NY,"11101",(718) 482-5301,Humanities,Queens Council District #26,Queens Community Board #2,Queens,40.744902,-73.935022,"179","4003534",4002780001,Hunters Point-Sunnyside-West Maspeth
"604","Landmark West, Inc.",45 West 67th Street,New York,NY,"10023",(212) 496-8110,Architecture/Design,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773595,-73.979594,"153","1028260",1011207501,Lincoln Square
"605",Lark Theatre Company,311 West 43rd Street,New York,NY,"10036",(212) 246-2676 x23,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,40.75818,-73.989922,"121","1024965",1010340022,Clinton
"606",Latin American Theatre Ensemble Inc.,"350 West 51st Street,  Apt. 13-D",New York,NY,"10019",(212) 397-3262,Theater,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.76374,-73.987632,"133","1025183",1010410050,Clinton
"607","Latino International Theater Festival of New York, Inc.","142 East 27th Street, Ste. 1A",New York,NY,"10016",(212) 695-4010,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.741825,-73.982458,"68","1018149",1008820056,Gramercy
"608","Latsky Dance, Inc.","400 West 43rd Street, #21S",New York,NY,"10036",(212) 679-7399,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759302,-73.992636,"121","1083745",1010520001,Clinton
"609","Laurie Foundation for the Performing Arts, Inc.",547 West 26th Street,New York,NY,"10001",(212) 244-0015,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750259,-74.004345,"99","1012390",1006980010,Hudson Yards-Chelsea-Flatiron-Union Square
"610","League of American Theatres and Producers, Inc.","226 West 47th Street, 6th floor",New York,NY,"10036",(212) 703-0222,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.759713,-73.985854,"125","1024743",1010180044,Midtown-Midtown South
"611",League of Professional Theatre Women,520 8th Avenue,New York,NY,"10018",(888) 297-3117,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"612","Learning Leaders, Inc.","80 Maiden Lane, 11th Floor",New York,NY,"10038",(212) 213-3370 x530,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.707116,-74.007329,"7","1001015",1000420031,Battery Park City-Lower Manhattan
"613","Learning Through an Expanded Arts Program, Inc.","535 Eighth Avenue, Suite 1100",New York,NY,"10018",(212) 769-4160 x7,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.75395,-73.992193,"111","1013599",1007600043,Hudson Yards-Chelsea-Flatiron-Union Square
"614",Lesbian & Gay Big Apple Corps,332 Bleecker Street,New York,NY,"10014",(212) 591-2886,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.733529,-74.004352,"73","1011145",1006190033,West Village
"615","Lesbian and Gay Community Services Center, Inc.",208 West 13th Street,New York,NY,"10011",(212) 620-7310 x244,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.738034,-74.000603,"77","1067571",1006170047,West Village
"616",Leslie-Lohman Museum of Gay and Lesbian Art,26 Wooster Street,New York,NY,"10013",(212) 431-2609,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721705,-74.003204,"47","1077455",1002290020,SoHo-TriBeCa-Civic Center-Little Italy
"617","Leviathan Lab, Inc.","425 West 18th Street, #11F",New York,NY,10011-3881,(347) 581-3047,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.743962,-74.004735,"89","1000000",1007167506,Hudson Yards-Chelsea-Flatiron-Union Square
"618","Liberata Dance Theatre, Inc.","440 West 34th Street, Apt. 13G",New York,NY,"10001",(212) 971-6054,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754022,-73.997842,"103","1012854",1007310065,Hudson Yards-Chelsea-Flatiron-Union Square
"619","Urban Archive, Inc.",123 Bowery,New York,NY,"10002",(631) 645-8363,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718175,-73.994946,"16","1003930",1003040015,Chinatown
"620",Life Jacket Theatre Company,"51 Jane Street, Suite #10",New York,NY,"10014",(917) 478-3572,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.738146,-74.005131,"77","1011667",1006260054,West Village
"621","Life Through Dance, Inc.","345 Riverside Drive, Apt. 5A",New York,NY,"10025",(646) 250-1847,Dance,Manhattan Council District #9,Bronx Community Board #7,Manhattan,40.802794,-73.969464,"195","1057273",1018920032,Morningside Heights
"622","Light Industry Cinema Projects, Ltd.",155 Freeman Street,Brooklyn,NY,"11222",(646) 420-0359,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,40.734377,-73.955816,"563","3063927",3025047502,Greenpoint
"623",Lighthouse International,250 West 64th Street,New York,NY,"10023",(212) 821-9374,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.774338,-73.987266,"151","1030337",1011547501,Lincoln Square
"624","Lincoln Center for the Performing Arts, Inc.",165 West 65th Street,New York,NY,"10023",(212) 875-5000,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773742,-73.983865,"149","1077844",1011377501,Lincoln Square
"625","Lincoln Square District Management Association, Inc.","1841 Broadway, Ste. 1112",New York,NY,"10023",(212) 581-3774,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.769158,-73.982429,"145","1027189",1011130018,Lincoln Square
"626",Lindsay's Theatre,"161 Sixth Avenue, 14th Floor",New York,NY,"10013",(212) 691-6969,Theater,,Manhattan Community Board #2,Manhattan,40.725677,-74.003976,"37","1007822",1005050031,SoHo-TriBeCa-Civic Center-Little Italy
"627",Literary Arts & Film Foundation Inc.,"608 West 135th Street, Suite 5a",New York,NY,"10031",(212) 283-4738,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.820348,-73.955687,"22302","1079747",1020010038,Manhattanville
"628",Literary Freedom Project,557 Grand Concourse,Bronx,NY,"10451",(347) 454-2161,Literature,Bronx Council District #8,Bronx Community Board #4,Bronx,40.819057,-73.927092,"63","2001057",2023470024,West Concourse
"629","Little Orchestra Society/Orpheon, Inc.",630 Ninth Avenue,New York,NY,"10036",(212) 971-9500 x119,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.760038,-73.991449,"121","1024982",1010350001,Clinton
"630","Living Image Arts, Inc.",1072 Lorimer Street,Brooklyn,NY,"11222",(718) 389-2151,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.727372,-73.953851,"561","3065314",3025960008,Greenpoint
"631","Living Theatre, Inc.",21 Clinton Street,New York,NY,"10002",(212) 397-9307,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.720683,-73.984253,"3001","1088336",1003500026,Chinatown
"632","Living Traditions, Inc.","207 West 25th Street, 4th Floor",New York,NY,"10001",(212) 532-8202,Folk Arts,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.745623,-73.995254,"91","1014211",1007757501,Hudson Yards-Chelsea-Flatiron-Union Square
"633",Local 802 Senior Musicians Association,322 West 48th Street,New York,NY,"10036",(212) 245-4802 x228,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,40.761399,-73.987896,"127","1025108",1010380043,Clinton
"634",Local Project,11-27 44th Road,New York,NY,"11101",(646) 298-0969,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens,40.749237,-73.949061,"19","4005222",4004460018,Hunters Point-Sunnyside-West Maspeth
"635","Location One, Inc.",26 Greene Street,New York,NY,"10013",(212) 334-3347,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721172,-74.002576,"47","1002990",1002307503,SoHo-TriBeCa-Civic Center-Little Italy
"636","Loco-Motion Dance Theatre for Children, Inc.",112 St. Marks Place #2,Brooklyn,NY,"11217",(212) 995-9027,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.727317,-73.984655,"32","1005828",1004350019,East Village
"637",Loco7 Dance Puppet Theatre Company Incorporated,"69 East 4th Street, apt 4c",New York,NY,"10003",(646) 642-5990,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726634,-73.99045,"38","1077982",1004600052,East Village
"638","Loft Practice Organization, Inc.",212 E Broadway 1103g,New York,NY,"10002",(201) 881-3086,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.714285,-73.987591,"1401","1077607",1003110013,Lower East Side
"639","LonGar Ebony Ensemble, Ltd.",119 West 119th Street,New York,NY,"10026",(212) 749-5500 x2128655522,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.80431,-73.949087,"220","1057550",1019040022,Central Harlem South
"640","Looking Glass Productions of New York, Inc.","812 Broadway, 3rd Floor",New York,NY,"10003",(212) 420-9208,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,40.732741,-73.991203,"61","1080118",1005570012,West Village
"641","Looking Glass Theatre, Inc.",422 West 57th Street,New York,NY,"10019",(212) 307-9467,Theater,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,40.768277,-73.986592,"139","1080955",1010660043,Clinton
"642","Los Pleneros de la 21, Inc.",1680 Lexington Avenue,New York,NY,"10029",(212) 427-5221,Folk Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.791881,-73.946558,"172","1051991",1016330013,East Harlem South
"643","Lot Radio, Inc.",17 Nassau Ave,Brooklyn,NY,"11222",(347) 446-6553,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.722722,-73.953966,"569","3065937",3026400001,Greenpoint
"644","Lotus Fine Arts Productions, Inc.","310 Riverside Drive, Room 210",New York,NY,"10025",(212) 627-1076 x14,Folk Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.800423,-73.971383,"191","1057188",1018900040,Upper West Side
"645","Lower East Side Community Music Workshop, Inc.","95 Avenue B, 1st floor",New York,NY,"10009",(212) 353-1843,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.724627,-73.981525,"2602","1004669",1003890002,Lower East Side
"646",Lower East Side Conservancy,235 East Broadway,New York,NY,"10002",(212) 233-6037,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.714359,-73.986509,"201","1003732",1002860033,Lower East Side
"647",Lower East Side District Management Association,54 Orchard Street,New York,NY,"10002",(212) 226-9010,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.716679,-73.99096,"16","1004000",1003090006,Chinatown
"648",Lower East Side Girls Club,101 Avenue D,New York,NY,"10009",(212) 982-1633 x104,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723308,-73.976323,"2602","1089381",1003777503,Lower East Side
"649","Lower East Side Performing Arts, Inc.",268 East Broadway,New York,NY,"10002",(212) 388-0202,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.714499,-73.984979,"1401","1082654",1003150001,Lower East Side
"650","Lower East Side Printshop, Inc.","306 West 37th Street, 6th floor",New York,NY,"10018",(212) 673-5390 x14,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754318,-73.99263,"111","1013596",1007600032,Hudson Yards-Chelsea-Flatiron-Union Square
"651",Lower East Side Tenement Museum,103 Orchard Street,New York,NY,"10002",(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718592,-73.990007,"18","1005471",1004140051,Chinatown
"652",Lower Manhattan Cultural Council,"125 Maiden Lane, 2nd floor",New York,NY,"10038",(212) 219-9401 x103,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.706397,-74.006341,"1502","1087484",1000707501,Battery Park City-Lower Manhattan
"653","Lubovitch Dance Foundation, Inc.","229 West 42nd Street, 8th Floor",New York,NY,"10036",(212) 221-7909,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.756571,-73.98819,"119","1024683",1010140017,Midtown-Midtown South
"654",Lucille Lortel Theatre Foundation Inc.,322 8th Avenue,New York,NY,"10001",(212) 924-2817,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.747294,-73.997023,"95","1014225",1007760001,Midtown-Midtown South
"655","Lyric Chamber Music Society of New York, Inc.","20 West 64th Street, Apt. 27H",New York,NY,"10023",(212) 496-9927,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.77143,-73.980335,"149","1027472",1011167501,Lincoln Square
"656","MA-YI Filipino Theatre Ensemble, Inc.","520 Eighth Avenue, Suite #309",New York,NY,"10018",(212) 971-4862,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"657","MAPP International Productions, Inc.",140 Second Avenue,New York,NY,"10003",(646) 602-9390,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728956,-73.987401,"38","1006362",1004500006,East Village
"658","MUSE Film and Television, Inc.","1 East 53rd Street, 10th Floor",New York,NY,"10022",(212) 688-8280,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.760324,-73.975584,"102","1035725",1012890005,Midtown-Midtown South
"659",Madison Square Park Conservancy,11 Madison Avenue,New York,NY,"10010",(212) 538-7150,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.741617,-73.987449,"56","1088910",1008547501,Hudson Yards-Chelsea-Flatiron-Union Square
"660","Magic Box Productions, Inc.","320 Central Park West, Apt. 19B",New York,NY,"10025",(718) 809-7405,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #6,Manhattan,40.789015,-73.966632,"177","1031626",1012050034,Upper West Side
"661",Magnum Foundation,"59 East 4th Street, #7W",New York,NY,"10003",(212) 219-1248,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.726785,-73.990807,"38","1082642",1004600056,East Village
"662",Main Street Theatre & Dance Alliance,548 Main Street,Roosevelt Island,NY,"10044",(212) 371-4449,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.761839,-73.949734,"23801","1084696",1013730030,Lenox Hill-Roosevelt Island
"663","Makam New York, Inc.",1800 7th Ave #7C,New York,NY,"10026",(646) 522-9285,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.799534,-73.955246,"216","1076519",1018267501,Central Harlem South
"664","Making Books Sing, Inc.",340 East 46th Street,New York,NY,"10017",(212) 573-8791 x240,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.751943,-73.969339,"90","1038777",1013380035,Turtle Bay-East Midtown
"665","Mama Foundation for the Arts, Inc.",149 West 126th Street,New York,NY,"10027",(212) 280-1045,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.809036,-73.946375,"224","1057889",1019110112,Central Harlem North-Polo Grounds
"666","Manhattan Art Program, Inc.","800 6th avenue, suite 11C",New York,NY,"10010",(212) 686-2202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.745342,-73.990487,"58","1088723",1008290001,Hudson Yards-Chelsea-Flatiron-Union Square
"667","Manhattan Class Company, Inc.",511 West 52nd Street,New York,NY,"10019",(212) 727-7722 x239,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.766411,-73.991989,"135","1087777",1010817502,Clinton
"668",Manhattan Community Access Corporation,537 West 59th Street,New York,NY,"10019",(212) 757-2670 x324,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.77091,-73.988768,"147","1030307",1011510012,Lincoln Square
"669",Manhattan Graphics Center,250 West 40th Street,New York,NY,"10018",(212) 219-8783,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.75535,-73.989334,"113","1014509",1007890067,Midtown-Midtown South
"670","Manhattan New Music Project, Inc.",243 West 30th Street,New York,NY,"10001",(212) 977-1070,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749018,-73.993731,"101","1014340",1007800015,Midtown-Midtown South
"671",Manhattan School of Music,120 Claremont Avenue,New York,NY,"10027",(917) 749-4433,Music,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.812475,-73.961931,"211","1076684",1019930001,Morningside Heights
"672","Manhattan Sprout, Inc.",270 West 96th Street,New York,NY,"10025",(212) 222-9575,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.794981,-73.972584,"183","1033711",1012430060,Upper West Side
"673","Manhattan Theatre Club, Inc.","311 West 43rd Street, Eighth Floor",New York,NY,"10036",(212) 399-3000 x4124,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.75818,-73.989922,"121","1024965",1010340022,Clinton
"674",Manhattan Theatre Source Incorporated,177 MacDougal Street,New York,NY,"10011",(212) 260-4698,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.732783,-73.998142,"63","1077891",1005530026,West Village
"675","Manna House Workshops, Inc.",338 East 106th Street,New York,NY,"10029",(212) 722-8223,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.790012,-73.941005,"170","1052766",1016770035,East Harlem South
"676","Marilyn Horne Foundation, Inc.","250 West 57th Street, Ste. 603",New York,NY,"10107",(212) 582-2000,Music,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,40.766391,-73.982119,"137","1024899",1010280056,Midtown-Midtown South
"677","Marquis Studios, Ltd.",20 Jay Street,Brooklyn,NY,"11201",(718) 694-9400,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"678","Martha Graham Center of Contemporary Dance, Inc.",55 Bethune Street,New York,NY,"10014",(917) 553-5984,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.736955,-74.008494,"79","1012047",1006390001,West Village
"679","Martina Arroyo Foundation, Inc.","200 Central Park South, Apt. 20-I",New York,NY,"10019",(212) 397-7256,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.767019,-73.979444,"137","1024918",1010300029,Midtown-Midtown South
"680",Mary Miss / City as Living Laboratory,"349 Greenwich Street, #5",New York,NY,"10013",(212) 966-4287,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.718559,-74.010433,"39","1002032",1001807511,SoHo-TriBeCa-Civic Center-Little Italy
"681","MasterVoices, Inc.",1441 Broadway,New York,NY,"10018",(646) 202-9623,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.754707,-73.986753,"113","1022569",1009930055,Midtown-Midtown South
"682","Maysles Institute, Inc.",343 Lenox Avenue,New York,NY,"10027",(212) 582-6050 x214,Film/Video/Audio,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.809254,-73.944416,"224","1086536",1019120130,Central Harlem North-Polo Grounds
"683","Medicine Show Theatre Ensemble, Inc.","549 West 52nd Street, Third Floor",New York,NY,"10019",(212) 262-4216,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.766669,-73.992603,"135","1081734",1010810080,Clinton
"684","Meet the Composer, Inc.","90 John Street, Ste. 312",New York,NY,"10038",(212) 645-6949 x111,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.708173,-74.006464,"1502","1001127",1000697502,Battery Park City-Lower Manhattan
"685",Megan Jill Paznik,"275 West 22nd Street, Suite 2A",New York,NY,"10011",(212) 924-3622,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.744396,-73.998394,"91","1014107",1007720007,Hudson Yards-Chelsea-Flatiron-Union Square
"686","Melodia Women's Choir of NYC, Inc.","446 West 47th Street, Apt. 1B",New York,NY,"10036",(212) 757-2945,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.762176,-73.991683,"127","1026520",1010567501,Clinton
"687","Melting Pot Theatre, Inc.","2444 Broadway, Suite 231",New York,NY,"10024",(212) 874-7210 x2,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.791029,-73.974417,"179","1033556",1012387501,Upper West Side
"688","Mencius Society for the Arts, Inc.","175 Delancey Street, 4th Floor",New York,NY,"10002",(212) 431-7373,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.717466,-73.985004,"1402","1089451",1003477501,Lower East Side
"689",Mendelssohn Glee Club,"393 West End Avenue, Apt. 8C",New York,NY,"10024",(845) 525-0100,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.784133,-73.981335,"167","1031127",1011860083,Upper West Side
"690",Mercantile Library Association of the City of New York,17 East 47th Street,New York,NY,"10017",(212) 755-6710,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.756246,-73.977571,"94","1035417",1012830013,Midtown-Midtown South
"691",Mercy Corps,75 Broad Street,New York,NY,"10004",(212) 537-0508,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.704541,-74.011552,"9","1000849",1000290070,Battery Park City-Lower Manhattan
"692",Metropolitan Historic Structures Association,232 East 11th Street,New York,NY,"10003",(718) 343-8830,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.730817,-73.987433,"40","1006817",1004660025,East Village
"693",Metropolitan Museum of Art,1000 Fifth Avenue,New York,NY,"10028",(212) 879-5500,Visual Arts,Manhattan Council District #6,Manhattan Community Board #8,Manhattan,40.778633,-73.962546,"143","1083810",1011110001,park-cemetery-etc-Manhattan
"694","Metropolitan Opera Association, Inc.",30 Lincoln Center,New York,NY,"10023",(212) 870-7647,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.772031,-73.98275,"149","1081022",1011340001,Lincoln Square
"695","Metropolitan Opera Guild, Inc.","70 Lincoln Center Plaza, Sixth Floor",New York,NY,"10023",(212) 769-7069,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773626,-73.983591,"149","1077844",1011377501,Lincoln Square
"696",Mexican American Symphony Orchestra,30 West 63rd Street,New York,NY,"10023",(212) 564-0508,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.77109,-73.981454,"149","1027463",1011157503,Lincoln Square
"697","MiShinnah Productions, Inc",435 E. 76th Street #3D,New York,NY,"10021",(917) 664-9696,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.770025,-73.953222,"132","1045956",1014717501,Lenox Hill-Roosevelt Island
